ORF,Name,Allele,Strain_ID,Plate,Row,Column
YBR193C,MED8,med8-39,tsa751,1,4,14
YDR172W,SUP35,sup35-td,tsa28,1,4,15
YGR270W,YTA7,,dma2009,1,4,16
YKL193C,SDS22,sds22-6,tsa573,1,4,17
YDR394W,RPT3,rpt3-1,tsa785,1,4,18
YJL097W,PHS1,phs1-1,tsa896,1,4,19
YOL066C,RIB2,rib2-5001,tsa1181,1,4,20
YLR088W,GAA1,gaa1-ts,tsa207,1,4,21
YER148W,SPT15,spt15-i143n,tsa812,1,4,22
YAL034W-A,MTW1,mtw1-ts,tsa235,1,4,23
YMR271C,URA10,,dma3865,1,4,24
YMR271C,URA10,,dma3865,1,5,1
YPR176C,BET2,bet2-1-supp1,tsa143,1,5,2
YDR021W,FAL1,fal1-1,tsa728,1,5,3
YIL048W,NEO1,neo1-2,tsa188,1,5,4
YMR190C,SGS1,,dma3784,1,5,5
YHR036W,BRL1,brl1-c371s,tsa1042,1,5,6
YDL043C,PRP11,prp11-ts,tsa369,1,5,7
YFL039C,ACT1,act1-132,tsa216,1,5,8
YJL046W,AIM22,,dma2464,1,5,9
YER125W,RSP5,rsp5-sm1,tsa464,1,5,10
YEL019C,MMS21,mms21-1,tsa533,1,5,11
YDR293C,SSD1,,dma1035,1,5,12
YGR081C,SLX9,,dma1857,1,5,13
YDR434W,GPI17,gpi17-5001,tsa1178,1,5,14
YPL169C,MEX67,mex67-ts5,tsa816,1,5,15
YHR191C,CTF8,,dma2228,1,5,16
YDR050C,TPI1,tpi1-1670,tsa988,1,5,17
YDL126C,CDC48,cdc48-2,tsa209,1,5,18
YGL151W,NUT1,,dma1703,1,5,19
YBR026C,ETR1,,dma196,1,5,20
YBR102C,EXO84,exo84-102,tsa24,1,5,21
YNL189W,SRP1,srp1-5001,tsa1182,1,5,22
YLR045C,STU2,stu2-13,tsa555,1,5,23
YMR271C,URA10,,dma3865,1,5,24
YMR271C,URA10,,dma3865,1,6,1
YOR336W,KRE5,kre5-ts2,tsa139,1,6,2
YLR347C,KAP95,kap95-e126k,tsa228,1,6,3
YFL039C,ACT1,act1-122,tsa219,1,6,4
YOR057W,SGT1,sgt1-3,tsa830,1,6,5
YNR043W,MVD1,mvd1-1296,tsa828,1,6,6
YFR052W,RPN12,rpn12-1,tsa405,1,6,7
YFR050C,PRE4,pre4-5001,tsa1139,1,6,8
YDR356W,SPC110,spc110-220,tsa301,1,6,9
YFL005W,SEC4,sec4-8,tsa307,1,6,10
YGL113W,SLD3,sld3-5001,tsa1119,1,6,11
YGL233W,SEC15,sec15-1,tsa40,1,6,12
YMR304W,UBP15,,dma3909,1,6,13
YDR498C,SEC20,sec20-1,tsa55,1,6,14
YGL245W,GUS1,gus1-5001,tsa1194,1,6,15
YKR086W,PRP16,prp16-2,tsa598,1,6,16
YGL130W,CEG1,ceg1-c354,tsa124,1,6,17
YLR056W,ERG3,,dma3153,1,6,18
YDL028C,MPS1,mps1-417,tsa169,1,6,19
YHR040W,BCD1,bcd1-5001,tsa1067,1,6,20
YDR341C,,ydr341c-5001,tsa1118,1,6,21
YNL163C,RIA1,ria1-ts,tsa1019,1,6,22
YPR085C,ASA1,asa1-5001,tsa1232,1,6,23
YMR271C,URA10,,dma3865,1,6,24
YMR271C,URA10,,dma3865,1,7,1
YPR016C,TIF6,tif6-ts4,tsa1010,1,7,2
YOR116C,RPO31,rpo31-698,tsa831,1,7,3
YCR052W,RSC6,rsc6-5001,tsa1191,1,7,4
YOR257W,CDC31,cdc31-5,tsa152,1,7,5
YKL213C,DOA1,,dma2910,1,7,6
YLR293C,GSP1,gsp1-p162l,tsa256,1,7,7
YDR356W,SPC110,spc110-221,tsa276,1,7,8
YOR122C,PFY1,pfy1-13,tsa233,1,7,9
YGR172C,YIP1,yip1-40,tsa981,1,7,10
YDR302W,GPI11,gpi11-5001,tsa1177,1,7,11
YIL104C,SHQ1,shq1-5001,tsa1100,1,7,12
YJR046W,TAH11,tah11-ts,tsa705,1,7,13
YHR058C,MED6,med6-5001,tsa1094,1,7,14
YCR002C,CDC10,cdc10-4,tsa81,1,7,15
YBL105C,PKC1,pkc1-3,tsa541,1,7,16
YDR236C,FMN1,fmn1-5001,tsa1245,1,7,17
YOR074C,CDC21,cdc21-1,tsa927,1,7,18
YDL087C,LUC7,luc7-1,tsa711,1,7,19
YCL061C,MRC1,,dma522,1,7,20
YOR204W,DED1,ded1-199,tsa557,1,7,21
YGR172C,YIP1,yip1-4,tsa980,1,7,22
YDL098C,SNU23,snu23-5001,tsa1079,1,7,23
YMR271C,URA10,,dma3865,1,7,24
YMR271C,URA10,,dma3865,1,8,1
YDR527W,RBA50,rba50-5001,tsa1216,1,8,2
YBL105C,PKC1,pkc1-ts,tsa535,1,8,3
YLR317W,,ylr317w-5001,tsa1151,1,8,4
YLL038C,ENT4,,dma3057,1,8,5
YML031W,NDC1,ndc1-4,tsa176,1,8,6
YIL083C,CAB2,cab2-5001,tsa1212,1,8,7
YPL255W,BBP1,bbp1-1,tsa691,1,8,8
YMR308C,PSE1,pse1-41,tsa683,1,8,9
YGL047W,ALG13,alg13-5001,tsa1197,1,8,10
YLR033W,RSC58,rsc58-5001,tsa1145,1,8,11
YGL048C,RPT6,rpt6-20,tsa907,1,8,12
YDL028C,MPS1,mps1-3796,tsa167,1,8,13
YKL112W,ABF1,abf1-101,tsa837,1,8,14
YGR156W,PTI1,pti1-ts7-supp1,tsa477,1,8,15
YPL209C,IPL1,ipl1-2,tsa206,1,8,16
YDR182W,CDC1,cdc1-6,tsa414,1,8,17
YDL103C,QRI1,qri1-ts6,tsa860,1,8,18
YFL039C,ACT1,act1-155,tsa220,1,8,19
YJL115W,ASF1,,dma2518,1,8,20
YMR061W,RNA14,rna14-5001,tsa1106,1,8,21
YBR087W,RFC5,rfc5-1,tsa887,1,8,22
YLR110C,CCW12,,dma3198,1,8,23
YMR271C,URA10,,dma3865,1,8,24
YMR271C,URA10,,dma3865,1,9,1
YLR163C,MAS1,mas1-1,tsa497,1,9,2
YAL013W,DEP1,,dma16,1,9,3
YDL028C,MPS1,mps1-6,tsa170,1,9,4
YJR093C,FIP1,fip1-5001,tsa1096,1,9,5
YNL258C,DSL1,dsl1-dc30,tsa418,1,9,6
YMR239C,RNT1,rnt1-ts,tsa673,1,9,7
YLR193C,UPS1,ups1-supp1,dma3256,1,9,8
YMR197C,VTI1,vti1-2,tsa634,1,9,9
YJR057W,CDC8,cdc8-2,tsa22,1,9,10
YBR109C,CMD1,cmd1-1,tsa154,1,9,11
YOR074C,CDC21,cdc21-ts,tsa147,1,9,12
YJL168C,SET2,,dma2546,1,9,13
YCL010C,SGF29,,dma478,1,9,14
YDL132W,CDC53,cdc53-1,tsa974,1,9,15
YGR246C,BRF1,brf1-w107r,tsa478,1,9,16
YJL203W,PRP21,prp21-ts,tsa401,1,9,17
YIL068C,SEC6,sec6-4,tsa38,1,9,18
YDR060W,MAK21,mak21-1,tsa249,1,9,19
YDR145W,TAF12,taf12-9,tsa514,1,9,20
YOR184W,SER1,,dma4596,1,9,21
YBR080C,SEC18,sec18-1,tsa54,1,9,22
YJR076C,CDC11,cdc11-4,tsa126,1,9,23
YMR271C,URA10,,dma3865,1,9,24
YMR271C,URA10,,dma3865,1,10,1
YLR026C,SED5,sed5-1,tsa198,1,10,2
YAL003W,EFB1,efb1-4,tsa987,1,10,3
YGL043W,DST1,,dma1631,1,10,4
YLR276C,DBP9,dbp9-5001,tsa1148,1,10,5
YLR208W,SEC13,sec13-1,tsa52,1,10,6
YHR065C,RRP3,rrp3-5001,tsa1261,1,10,7
YKL173W,SNU114,snu114-40,tsa622,1,10,8
YGR091W,PRP31,prp31-ts,tsa400,1,10,9
YDL208W,NHP2,nhp2-5001,tsa1176,1,10,10
YPL235W,RVB2,rvb2-5001,tsa1202,1,10,11
YLR342W,FKS1,,dma3377,1,10,12
YPR179C,HDA3,,dma5157,1,10,13
YGR103W,NOP7,nop7-1,tsa447,1,10,14
YKR022C,NTR2,ntr2-5001,tsa1231,1,10,15
YDR512C,EMI1,,dma1213,1,10,16
YLR340W,RPP0,rpp0-5001,tsa1152,1,10,17
YPL228W,CET1,cet1-1,tsa270,1,10,18
YPL174C,NIP100,,dma4918,1,10,19
YHR101C,BIG1,big1-5001,tsa1129,1,10,20
YJL104W,PAM16,pam16-3,tsa499,1,10,21
YDR162C,NBP2,,dma958,1,10,22
YKL019W,RAM2,ram2-5001,tsa1273,1,10,23
YMR271C,URA10,,dma3865,1,10,24
YMR271C,URA10,,dma3865,1,11,1
YPR086W,SUA7,sua7-5001,tsa1274,1,11,2
YCL052C,PBN1,pbn1-5001,tsa1069,1,11,3
YDL028C,MPS1,mps1-1,tsa166,1,11,4
YOR151C,RPB2,rpb2-6,tsa693,1,11,5
YKL024C,URA6,ura6-4,tsa1031,1,11,6
YGR140W,CBF2,cbf2-2,tsa221,1,11,7
YGL075C,MPS2,mps2-2,tsa444,1,11,8
YFL034C-B,MOB2,mob2-24,tsa813,1,11,9
YOR085W,OST3,,dma4524,1,11,10
YBL026W,LSM2,lsm2-5001,tsa1065,1,11,11
YPR070W,MED1,,dma5068,1,11,12
YJR006W,POL31,hys2-ts,tsa794,1,11,13
YOR259C,RPT4,rpt4-145,tsa263,1,11,14
YNL138W,SRV2,srv2-2,tsa800,1,11,15
YFL039C,ACT1,act1-119,tsa215,1,11,16
YLR367W,RPS22B,,dma3402,1,11,17
YFL039C,ACT1,act1-133,tsa141,1,11,18
YER083C,GET2,,dma1389,1,11,19
YOR181W,LAS17,las17-1,tsa912,1,11,20
YLR397C,AFG2,afg2-18,tsa266,1,11,21
YGL116W,CDC20,cdc20-3,tsa368,1,11,22
YDR235W,PRP42,prp42-5001,tsa1085,1,11,23
YMR271C,URA10,,dma3865,1,11,24
YMR271C,URA10,,dma3865,1,12,1
YCL061C,MRC1,,dma522,1,12,2
YGL045W,RIM8,,dma1630,1,12,3
YBR079C,RPG1,rpg1-1,tsa990,1,12,4
YBR155W,CNS1,cns1-1,tsa567,1,12,5
YOL038W,PRE6,pre6-5001,tsa1153,1,12,6
YBL034C,STU1,stu1-12,tsa822,1,12,7
YDR238C,SEC26,sec26-11d26,tsa722,1,12,8
YLR186W,EMG1,emg1-5001,tsa1141,1,12,9
YML041C,VPS71,,dma3546,1,12,10
YDR002W,YRB1,yrb1-51,tsa582,1,12,11
YDR196C,CAB5,cab5-1,tsa890,1,12,12
YJL039C,NUP192,nup192-15,tsa496,1,12,13
YCL059C,KRR1,krr1-18,tsa326,1,12,14
YLL031C,GPI13,gpi13-5,tsa197,1,12,15
YER018C,SPC25,spc25-1,tsa473,1,12,16
YIL118W,RHO3,rho3-1,tsa654,1,12,17
YGR009C,SEC9,sec9-4,tsa57,1,12,18
YKL021C,MAK11,mak11-5001,tsa1097,1,12,19
YDR361C,BCP1,bcp1-ts,tsa580,1,12,20
YKL203C,TOR2,tor2-21,tsa398,1,12,21
YFL039C,ACT1,act1-111,tsa214,1,12,22
YKL112W,ABF1,abf1-103,tsa335,1,12,23
YMR271C,URA10,,dma3865,1,12,24
YMR271C,URA10,,dma3865,1,13,1
YBL093C,ROX3,rox3-182,tsa1015,1,13,2
YOR174W,MED4,med4-6,tsa738,1,13,3
YLR378C,SEC61,sec61-2,tsa213,1,13,4
YPL209C,IPL1,ipl1-1,tsa165,1,13,5
YKL144C,RPC25,rpc25-5001,tsa1124,1,13,6
YBR079C,RPG1,rpg1-5001,tsa1060,1,13,7
YKL032C,IXR1,,dma2770,1,13,8
YDL090C,RAM1,ram1-119,tsa327,1,13,9
YDL102W,POL3,cdc2-7,tsa17,1,13,10
YGR135W,PRE9,,dma1892,1,13,11
YOL001W,PHO80,,dma4274,1,13,12
YLR298C,YHC1,yhc1-8,tsa844,1,13,13
YDL102W,POL3,cdc2-1,tsa406,1,13,14
YLR321C,SFH1,sfh1-1,tsa952,1,13,15
YNL061W,NOP2,nop2-9,tsa630,1,13,16
YGR005C,TFG2,tfg2-5001,tsa1137,1,13,17
YDR141C,DOP1,dop1-1,tsa854,1,13,18
YLR440C,SEC39,sec39-2,tsa726,1,13,19
YGR113W,DAM1,dam1-1,tsa245,1,13,20
YBR234C,ARC40,arc40-5001,tsa1070,1,13,21
YCL061C,MRC1,,dma522,1,13,22
YOR149C,SMP3,smp3-2,tsa204,1,13,23
YMR271C,URA10,,dma3865,1,13,24
YMR271C,URA10,,dma3865,1,14,1
YML064C,TEM1,tem1-3-supp1,tsa225,1,14,2
YMR076C,PDS5,pds5-1,tsa983,1,14,3
YNL216W,RAP1,rap1-1,tsa558,1,14,4
YER006W,NUG1,nug1-2,tsa786,1,14,5
YPL020C,ULP1,ulp1-333,tsa566,1,14,6
YGR091W,PRP31,prp31-1,tsa472,1,14,7
YPR033C,HTS1,hts1-1,tsa945,1,14,8
YPR023C,EAF3,,dma5033,1,14,9
YOR244W,ESA1,esa1-l254p,tsa560,1,14,10
YBR198C,TAF5,taf5-15,tsa512,1,14,11
YDR246W,TRS23,trs23-5001,tsa1220,1,14,12
YDL014W,NOP1,nop1-2,tsa803,1,14,13
YPL055C,LGE1,,dma4805,1,14,14
YDL014W,NOP1,nop1-3,tsa128,1,14,15
YOR014W,RTS1,,dma4431,1,14,16
YNR035C,ARC35,arc35-6,tsa471,1,14,17
YEL055C,POL5,pol5-2,tsa594,1,14,18
YFL039C,ACT1,act1-3,tsa137,1,14,19
YPR161C,SGV1,sgv1-80,tsa1028,1,14,20
YOR196C,LIP5,,dma4586,1,14,21
YOR341W,RPA190,rpa190-1,tsa530,1,14,22
YLR347C,KAP95,kap95-l63a,tsa226,1,14,23
YMR271C,URA10,,dma3865,1,14,24
YMR271C,URA10,,dma3865,1,15,1
YGL120C,PRP43,prp43-ts2,tsa607,1,15,2
YDR054C,CDC34,cdc34-1,tsa92,1,15,3
YER013W,PRP22,prp22-1,tsa237,1,15,4
YOL069W,NUF2,nuf2-5001,tsa1154,1,15,5
YDR062W,LCB2,lcb2-2,tsa575,1,15,6
YKR037C,SPC34,spc34-7,tsa857,1,15,7
YOR004W,UTP23,utp23-5001,tsa1057,1,15,8
YNL102W,POL1,pol1-2,tsa344,1,15,9
YFL017C,GNA1,gna1-5001,tsa1244,1,15,10
YMR197C,VTI1,vti1-11-supp1,tsa635,1,15,11
YOL130W,ALR1,alr1-5001,tsa1271,1,15,12
YDL126C,CDC48,cdc48-1,tsa826,1,15,13
YCR002C,CDC10,cdc10-5,tsa899,1,15,14
YGR277C,CAB4,cab4-5001,tsa1205,1,15,15
YDR062W,LCB2,lcb2-1,tsa586,1,15,16
YAL041W,CDC24,cdc24-1,tsa408,1,15,17
YDL045C,FAD1,fad1-5001,tsa1116,1,15,18
YDR292C,SRP101,srp101-47,tsa733,1,15,19
YER171W,RAD3,rad3-ts14,tsa588,1,15,20
YML103C,NUP188,,dma3612,1,15,21
YDR240C,SNU56,snu56-5001,tsa1235,1,15,22
YGL075C,MPS2,mps2-1,tsa443,1,15,23
YMR271C,URA10,,dma3865,1,15,24
YMR271C,URA10,,dma3865,1,16,1
YMR271C,URA10,,dma3865,1,16,2
YMR271C,URA10,,dma3865,1,16,3
YMR271C,URA10,,dma3865,1,16,4
YMR271C,URA10,,dma3865,1,16,5
YMR271C,URA10,,dma3865,1,16,6
YMR271C,URA10,,dma3865,1,16,7
YMR271C,URA10,,dma3865,1,16,8
YMR271C,URA10,,dma3865,1,16,9
YMR271C,URA10,,dma3865,1,16,10
YMR271C,URA10,,dma3865,1,16,11
YMR271C,URA10,,dma3865,1,16,12
YMR271C,URA10,,dma3865,1,16,13
YMR271C,URA10,,dma3865,1,16,14
YMR271C,URA10,,dma3865,1,16,15
YMR271C,URA10,,dma3865,1,16,16
YMR271C,URA10,,dma3865,1,16,17
YMR271C,URA10,,dma3865,1,16,18
YMR271C,URA10,,dma3865,1,16,19
YMR271C,URA10,,dma3865,1,16,20
YMR271C,URA10,,dma3865,1,16,21
YMR271C,URA10,,dma3865,1,16,22
YMR271C,URA10,,dma3865,1,16,23
YMR271C,URA10,,dma3865,1,16,24
YMR271C,URA10,,dma3865,2,1,1
YMR271C,URA10,,dma3865,2,1,2
YMR271C,URA10,,dma3865,2,1,3
YMR271C,URA10,,dma3865,2,1,4
YMR271C,URA10,,dma3865,2,1,5
YMR271C,URA10,,dma3865,2,1,6
YMR271C,URA10,,dma3865,2,1,7
YMR271C,URA10,,dma3865,2,1,8
YMR271C,URA10,,dma3865,2,1,9
YMR271C,URA10,,dma3865,2,1,10
YMR271C,URA10,,dma3865,2,1,11
YMR271C,URA10,,dma3865,2,1,12
YMR271C,URA10,,dma3865,2,1,13
YMR271C,URA10,,dma3865,2,1,14
YMR271C,URA10,,dma3865,2,1,15
YMR271C,URA10,,dma3865,2,1,16
YMR271C,URA10,,dma3865,2,1,17
YMR271C,URA10,,dma3865,2,1,18
YMR271C,URA10,,dma3865,2,1,19
YMR271C,URA10,,dma3865,2,1,20
YMR271C,URA10,,dma3865,2,1,21
YMR271C,URA10,,dma3865,2,1,22
YMR271C,URA10,,dma3865,2,1,23
YMR271C,URA10,,dma3865,2,1,24
YMR271C,URA10,,dma3865,2,2,1
YEL034W,HYP2,hyp2-2,tsa750,2,2,2
YMR154C,RIM13,,dma3750,2,2,3
YBR253W,SRB6,srb6-5001,tsa1068,2,2,4
YDL220C,CDC13,cdc13-1,tsa881,2,2,5
YGR113W,DAM1,dam1-11,tsa240,2,2,6
YBR082C,UBC4,,dma245,2,2,7
YBR070C,ALG14,alg14-5001,tsa1061,2,2,8
YKL074C,MUD2,,dma2820,2,2,9
YDR303C,RSC3,rsc3-1,tsa503,2,2,10
YNL079C,TPM1,tpm1-supp1,dma3988,2,2,11
YPL101W,ELP4,,dma4843,2,2,12
YFL039C,ACT1,act1-108,tsa904,2,2,13
YHR122W,CIA2,cia2-5001,tsa1208,2,2,14
YNL102W,POL1,pol1-12,tsa897,2,2,15
YLR078C,BOS1,bos1-1,tsa199,2,2,16
YOR149C,SMP3,smp3-1,tsa849,2,2,17
YFL009W,CDC4,cdc4-1,tsa878,2,2,18
YAR019C,CDC15,cdc15-2,tsa882,2,2,19
YPR055W,SEC8,sec8-6,tsa364,2,2,20
YFL013C,IES1,,dma5282,2,2,21
YJR065C,ARP3,arp3-h161a,tsa297,2,2,22
YGR092W,DBF2,,dma1850,2,2,23
YMR271C,URA10,,dma3865,2,2,24
YMR271C,URA10,,dma3865,2,3,1
YFL039C,ACT1,act1-124,tsa72,2,3,2
YFL034C-B,MOB2,mob2-19,tsa939,2,3,3
YDR060W,MAK21,mak21-3,tsa250,2,3,4
YLR100W,ERG27,erg27-5001,tsa1172,2,3,5
YML065W,ORC1,orc1-5001,tsa1170,2,3,6
YLL031C,GPI13,gpi13-4,tsa959,2,3,7
YNL061W,NOP2,nop2-4-supp1,tsa627,2,3,8
YKL189W,HYM1,hym1-15,tsa892,2,3,9
YNL262W,POL2,pol2-12,tsa20,2,3,10
YLR045C,STU2,stu2-11,tsa545,2,3,11
YGR099W,TEL2,tel2-7,tsa604,2,3,12
YFR031C,SMC2,smc2-8,tsa522,2,3,13
YGL022W,STT3,stt3-7,tsa544,2,3,14
YBL050W,SEC17,sec17-1,tsa45,2,3,15
YDL213C,NOP6,,dma796,2,3,16
YOL034W,SMC5,smc5-6,tsa727,2,3,17
YHR052W,CIC1,cic1-2,tsa713,2,3,18
YDL105W,NSE4,nse4-ts4,tsa993,2,3,19
YHR166C,CDC23,cdc23-4,tsa87,2,3,20
YGL092W,NUP145,nup145-r4,tsa977,2,3,21
YPR133C,SPN1,spn1-k192n,tsa1011,2,3,22
YDR158W,HOM2,,dma938,2,3,23
YMR271C,URA10,,dma3865,2,3,24
YMR271C,URA10,,dma3865,2,4,1
YDL207W,GLE1,gle1-2,tsa919,2,4,2
YOR181W,LAS17,las17-13,tsa924,2,4,3
YOR257W,CDC31,cdc31-2,tsa151,2,4,4
YML001W,YPT7,,dma3511,2,4,5
YLR418C,CDC73,,dma3477,2,4,6
YGL145W,TIP20,tip20-5,tsa271,2,4,7
YGL115W,SNF4,,dma1678,2,4,8
YEL055C,POL5,pol5-1,tsa595,2,4,9
YDR437W,GPI19,gpi19-2,tsa1014,2,4,10
YDL105W,NSE4,nse4-ts3,tsa992,2,4,11
YFR004W,RPN11,rpn11-8,tsa521,2,4,12
YJL085W,EXO70,exo70-38,tsa848,2,4,13
YDL008W,APC11,apc11-13,tsa783,2,4,14
YJL035C,TAD2,tad2-5001,tsa1099,2,4,15
YDR087C,RRP1,rrp1-1,tsa181,2,4,16
YBR109C,CMD1,cmd1-8,tsa157,2,4,17
YDR189W,SLY1,sly1-ts,tsa251,2,4,18
YNL002C,RLP7,rlp7-5001,tsa1159,2,4,19
YKL089W,MIF2,mif2-3,tsa113,2,4,20
YNL153C,GIM3,,dma4055,2,4,21
YPL057C,SUR1,,dma4803,2,4,22
YOR075W,UFE1,ufe1-1,tsa212,2,4,23
YMR271C,URA10,,dma3865,2,4,24
YMR271C,URA10,,dma3865,2,5,1
YGR211W,ZPR1,zpr1-1,tsa547,2,5,2
YDR196C,CAB5,cab5-5001,tsa1204,2,5,3
YDL017W,CDC7,cdc7-4,tsa131,2,5,4
YAL011W,SWC3,,dma17,2,5,5
YHR036W,BRL1,brl1-c371r,tsa1041,2,5,6
YFL034C-B,MOB2,mob2-22,tsa610,2,5,7
YLR212C,TUB4,tub4-y445d,tsa717,2,5,8
YJR074W,MOG1,,dma2663,2,5,9
YPR175W,DPB2,dpb2-1,tsa349,2,5,10
YLR005W,SSL1,ssl1-5001,tsa1132,2,5,11
YHR085W,IPI1,ipi1-5001,tsa1217,2,5,12
YAR019C,CDC15,cdc15-1,tsa821,2,5,13
YDR145W,TAF12,taf12-w486stop,tsa515,2,5,14
YBR211C,AME1,ame1-4,tsa716,2,5,15
YGR264C,MES1,mes1-1,tsa35,2,5,16
YFL009W,CDC4,cdc4-3,tsa334,2,5,17
YDR245W,MNN10,mnn10-supp1,dma1003,2,5,18
YBR142W,MAK5,mak5-5001,tsa1109,2,5,19
YKL069W,,,dma2802,2,5,20
YDR156W,RPA14,,dma940,2,5,21
YIR012W,SQT1,sqt1-201,tsa617,2,5,22
YPR103W,PRE2,pre2-2,tsa917,2,5,23
YMR271C,URA10,,dma3865,2,5,24
YMR271C,URA10,,dma3865,2,6,1
YDL143W,CCT4,cct4-1,tsa729,2,6,2
YKR092C,SRP40,,dma3002,2,6,3
YKR002W,PAP1,pap1-1,tsa194,2,6,4
YEL034W,HYP2,hyp2-1159-supp1,tsa749,2,6,5
YBL041W,PRE7,pre7-5001,tsa1064,2,6,6
YDR460W,TFB3,tfb3-ts,tsa951,2,6,7
YNL075W,IMP4,imp4-2,tsa556,2,6,8
YDL111C,RRP42,rrp42-5001,tsa1091,2,6,9
YMR296C,LCB1,lcb1-5,tsa600,2,6,10
YNL102W,POL1,pol1-ts,tsa343,2,6,11
YIL021W,RPB3,rpb3-2,tsa615,2,6,12
YLL004W,ORC3,orc3-70,tsa351,2,6,13
YJR112W,NNF1,nnf1-77,tsa440,2,6,14
YHR012W,VPS29,,dma2078,2,6,15
YFL039C,ACT1,act1-101,tsa136,2,6,16
YOR322C,LDB19,,dma4720,2,6,17
YHR024C,MAS2,mas2-10,tsa526,2,6,18
YNL126W,SPC98,spc98-5001,tsa1187,2,6,19
